protocol_id,run_id,engine,method,dataset,pred_len,seed,epochs_ran,mse,mae,physical_gpu,dataset_sha256,log_file
kdd_resubmit_tifo_historical_v2,gate2_ettm2_h96_itransformer_tifo_historical_s2021,native,iTransformer+TIFO[historical],ETTm2,96,2021,8,0.1806105226278305,0.26496759057044983,0,db973ca252c6410a30d0469b13d696cf919648d0f3fd588c60f03fdbdbadd1fd,/mnt/data1/park/TS/FredNormer/experiment_records/gate2_ettm2_h96_itransformer_tifo_historical_s2021/run.log
kdd_resubmit_tifo_historical_v2,gate2_ettm2_h96_itransformer_tifo_historical_s2022,native,iTransformer+TIFO[historical],ETTm2,96,2022,7,0.18202970921993256,0.2668640613555908,1,db973ca252c6410a30d0469b13d696cf919648d0f3fd588c60f03fdbdbadd1fd,/mnt/data1/park/TS/FredNormer/experiment_records/gate2_ettm2_h96_itransformer_tifo_historical_s2022/run.log
kdd_resubmit_tifo_historical_v2,gate2_ettm2_h96_itransformer_tifo_historical_s2023,native,iTransformer+TIFO[historical],ETTm2,96,2023,8,0.18094402551651,0.2653467059135437,2,db973ca252c6410a30d0469b13d696cf919648d0f3fd588c60f03fdbdbadd1fd,/mnt/data1/park/TS/FredNormer/experiment_records/gate2_ettm2_h96_itransformer_tifo_historical_s2023/run.log
kdd_resubmit_tifo_prior_v2,gate2_ettm2_h96_itransformer_tifo_prior_s2021,native,iTransformer+TIFO[identity_prior],ETTm2,96,2021,8,0.1827743798494339,0.2669529616832733,4,db973ca252c6410a30d0469b13d696cf919648d0f3fd588c60f03fdbdbadd1fd,/mnt/data1/park/TS/FredNormer/experiment_records/gate2_ettm2_h96_itransformer_tifo_prior_s2021/run.log
kdd_resubmit_tifo_prior_v2,gate2_ettm2_h96_itransformer_tifo_prior_s2022,native,iTransformer+TIFO[identity_prior],ETTm2,96,2022,8,0.18574117124080658,0.2685087323188782,5,db973ca252c6410a30d0469b13d696cf919648d0f3fd588c60f03fdbdbadd1fd,/mnt/data1/park/TS/FredNormer/experiment_records/gate2_ettm2_h96_itransformer_tifo_prior_s2022/run.log
kdd_resubmit_tifo_prior_v2,gate2_ettm2_h96_itransformer_tifo_prior_s2023,native,iTransformer+TIFO[identity_prior],ETTm2,96,2023,6,0.18618273735046387,0.2724660634994507,6,db973ca252c6410a30d0469b13d696cf919648d0f3fd588c60f03fdbdbadd1fd,/mnt/data1/park/TS/FredNormer/experiment_records/gate2_ettm2_h96_itransformer_tifo_prior_s2023/run.log
kdd_resubmit_gate_v1,gate_ettm2_h96_itransformer_ori_s2021,native,iTransformer+ORI,ETTm2,96,2021,7,0.18428361415863037,0.26810604333877563,0,db973ca252c6410a30d0469b13d696cf919648d0f3fd588c60f03fdbdbadd1fd,/mnt/data1/park/TS/FredNormer/experiment_records/gate_ettm2_h96_itransformer_ori_s2021/run.log
kdd_resubmit_gate_v1,gate_ettm2_h96_itransformer_ori_s2022,native,iTransformer+ORI,ETTm2,96,2022,7,0.1840965747833252,0.26847660541534424,4,db973ca252c6410a30d0469b13d696cf919648d0f3fd588c60f03fdbdbadd1fd,/mnt/data1/park/TS/FredNormer/experiment_records/gate_ettm2_h96_itransformer_ori_s2022/run.log
kdd_resubmit_gate_v1,gate_ettm2_h96_itransformer_ori_s2023,native,iTransformer+ORI,ETTm2,96,2023,6,0.18561621010303497,0.2723395824432373,0,db973ca252c6410a30d0469b13d696cf919648d0f3fd588c60f03fdbdbadd1fd,/mnt/data1/park/TS/FredNormer/experiment_records/gate_ettm2_h96_itransformer_ori_s2023/run.log
kdd_resubmit_gate_v1,gate_ettm2_h96_itransformer_tifo_s2021,native,iTransformer+TIFO[identity_unregularized],ETTm2,96,2021,6,0.1881624013185501,0.273384153842926,1,db973ca252c6410a30d0469b13d696cf919648d0f3fd588c60f03fdbdbadd1fd,/mnt/data1/park/TS/FredNormer/experiment_records/gate_ettm2_h96_itransformer_tifo_s2021/run.log
kdd_resubmit_gate_v1,gate_ettm2_h96_itransformer_tifo_s2022,native,iTransformer+TIFO[identity_unregularized],ETTm2,96,2022,6,0.18794293701648712,0.2738865911960602,5,db973ca252c6410a30d0469b13d696cf919648d0f3fd588c60f03fdbdbadd1fd,/mnt/data1/park/TS/FredNormer/experiment_records/gate_ettm2_h96_itransformer_tifo_s2022/run.log
kdd_resubmit_gate_v1,gate_ettm2_h96_itransformer_tifo_s2023,native,iTransformer+TIFO[identity_unregularized],ETTm2,96,2023,6,0.18501140177249908,0.27085623145103455,1,db973ca252c6410a30d0469b13d696cf919648d0f3fd588c60f03fdbdbadd1fd,/mnt/data1/park/TS/FredNormer/experiment_records/gate_ettm2_h96_itransformer_tifo_s2023/run.log
kdd_resubmit_gate_v1,gate_ettm2_h96_tfps_s2021,tfps,TFPS,ETTm2,96,2021,22,0.1715032160282135,0.2554316520690918,3,db973ca252c6410a30d0469b13d696cf919648d0f3fd588c60f03fdbdbadd1fd,/mnt/data1/park/TS/FredNormer/experiment_records/gate_ettm2_h96_tfps_s2021/run.log
kdd_resubmit_gate_v1,gate_ettm2_h96_tfps_s2022,tfps,TFPS,ETTm2,96,2022,23,0.17378689348697662,0.25598007440567017,7,db973ca252c6410a30d0469b13d696cf919648d0f3fd588c60f03fdbdbadd1fd,/mnt/data1/park/TS/FredNormer/experiment_records/gate_ettm2_h96_tfps_s2022/run.log
